bus_id,grid_cell
NO5-400,
NO5-400,wof-NOR_449
NO5-400,wof-NOR_449
NO5-400,wof-NOR_449
NO15-420,wof-NOR_449
NO15-420,wof-NOR_449
NO15-420,wof-NOR_434
NO15-420,wof-NOR_434
relation/8473044-220,wof-NOR_403
relation/8473044-220,wof-NOR_403
NO5-400,
relation/8473044-220,wof-NOR_403
relation/8473044-220,wof-NOR_403
relation/8473044-220,wof-NOR_403
relation/8473044-220,wof-NOR_403
relation/8473044-220,wof-NOR_402
relation/8473044-220,wof-NOR_402
NO26-400,
NO26-400,
NO27-420,wof-NOR_243
NO27-420,wof-NOR_243
NO27-420,wof-NOR_243
NO27-420,wof-NOR_243
NO27-420,wof-NOR_243
NO27-420,wof-NOR_243
NO5-400,wof-NOR_463
NO27-420,wof-NOR_243
NO27-420,wof-NOR_243
NO55-300,wof-NOR_191
NO55-300,wof-NOR_191
NO55-300,wof-NOR_191
NO55-300,wof-NOR_191
NO55-300,wof-NOR_190
NO55-300,wof-NOR_159
NO55-300,wof-NOR_159
NO5-400,wof-NOR_463
NO55-300,wof-NOR_190
NO55-300,wof-NOR_159
NO55-300,wof-NOR_159
NO55-300,wof-NOR_128
NO55-300,wof-NOR_128
NO27-420,
NO55-300,
NO55-300,
NO55-300,
NO55-300,
NO5-400,wof-NOR_463
NO5-400,wof-NOR_463
NO55-300,wof-NOR_188
NO55-300,wof-NOR_188
NO55-300,wof-NOR_188
NO55-300,wof-NOR_216
NO55-300,wof-NOR_216
NO55-300,wof-NOR_216
NO55-300,wof-NOR_188
NO55-300,wof-NOR_188
NO55-300,wof-NOR_216
NO5-400,wof-NOR_450
relation/12832053,wof-NOR_157
NO55-300,wof-NOR_157
NO55-300,wof-NOR_216
relation/12832053,wof-NOR_126
NO55-300,wof-NOR_216
relation/12832053,wof-NOR_126
NO90-420,
NO55-300,wof-NOR_187
NO55-300,wof-NOR_215
NO55-300,wof-NOR_187
NO5-400,wof-NOR_450
NO55-300,wof-NOR_187
relation/12832053,wof-NOR_187
relation/12832053,wof-NOR_187
relation/12832053,NOR_23
relation/12832053,wof-NOR_155
relation/12832053,NOR_23
relation/12832053,wof-NOR_186
NO90-420,NOR_72
relation/12832053,NOR_23
relation/12832053,wof-NOR_186
relation/12832053,NOR_23
relation/12832053,wof-NOR_186
way/60495669-420,NOR_84
relation/12832053,NOR_12
relation/12832053,wof-NOR_155
NO5-400,wof-NOR_449
relation/12832053,NOR_11
relation/12832053,wof-NOR_154
relation/12832053,NOR_33
relation/12832053,wof-NOR_185
relation/12832053,NOR_22
relation/12832053,wof-NOR_154
relation/12832053,NOR_22
relation/12832053,wof-NOR_154
NO90-420,NOR_71
NO90-420,NOR_71
NO90-420,NOR_58
relation/12832053,NOR_22
relation/12832053,wof-NOR_185
NO90-420,NOR_58
relation/12832053,NOR_22
relation/12832053,wof-NOR_185
relation/7928148,NOR_45
NO5-400,wof-NOR_449
NO90-420,NOR_70
NO90-420,NOR_70
relation/8890887,NOR_21
relation/8890887,wof-NOR_184
relation/8890887,NOR_21
relation/8890887,wof-NOR_184
relation/8890887,NOR_21
relation/8890887,wof-NOR_184
relation/8890887,NOR_21
relation/8890887,wof-NOR_183
relation/12832053,NOR_10
relation/12832053,wof-NOR_152
relation/8890887,NOR_20
relation/8890887,wof-NOR_152
relation/8890887,NOR_20
relation/8890887,wof-NOR_152
relation/8890887,NOR_20
relation/8890887,wof-NOR_183
NO55-300,wof-NOR_157
NO55-300,wof-NOR_192
relation/11981383,NOR_19
relation/11981383,wof-NOR_182
NO55-300,wof-NOR_215
way/60495669-420,NOR_84
relation/12832053,NOR_23
relation/12832053,wof-NOR_186
relation/7928148,NOR_45
relation/12832053,NOR_22
relation/12832053,wof-NOR_185
relation/12832053,NOR_22
relation/12832053,wof-NOR_185
relation/12832053,NOR_11
relation/12832053,wof-NOR_154
NO90-420,NOR_70
NO90-420,wof-NOR_291
relation/11981383,NOR_19
relation/11981383,wof-NOR_182
relation/12832053,NOR_22
relation/12832053,wof-NOR_185
NO90-420,
relation/12832053,NOR_22
relation/12832053,wof-NOR_185
relation/12832053,NOR_22
relation/12832053,wof-NOR_185
relation/12832053,NOR_10
relation/12832053,wof-NOR_153
NO90-420,NOR_70
NO90-420,wof-NOR_291
NO55-300,wof-NOR_158
relation/12832053,NOR_10
relation/12832053,wof-NOR_122
relation/12832053,NOR_9
relation/12832053,wof-NOR_152
NO55-300,wof-NOR_216
NO55-300,wof-NOR_216
relation/12832053,wof-NOR_157
relation/12832053,NOR_23
relation/12832053,wof-NOR_186
relation/12832053,NOR_12
relation/12832053,wof-NOR_154
NO55-300,
NO55-300,
NO27-420,wof-NOR_220
NO27-420,wof-NOR_243
NO27-420,wof-NOR_243
NO27-420,
NO55-300,wof-NOR_216
NO90-420,
NO90-420,
NO90-420,NOR_59
NO90-420,NOR_59
NO90-420,NOR_46
NO90-420,NOR_59
relation/12832053,NOR_45
relation/7928148,NOR_45
relation/7928148,NOR_42
relation/7928148,wof-NOR_242
relation/7928148,NOR_42
relation/7928148,wof-NOR_242
relation/12832053,NOR_32
relation/11981383,NOR_30
relation/11981383,wof-NOR_182
NO27-420,
way/60495669-420,NOR_84
NO26-400,
way/60495669-420,NOR_84
NO15-420,wof-NOR_449
NO15-420,wof-NOR_434
relation/8890887,NOR_19
relation/8890887,wof-NOR_151
relation/8473044-220,wof-NOR_401
relation/8473044-220,wof-NOR_401
relation/8473044-220,wof-NOR_401
relation/8473044-220,wof-NOR_384
relation/8473044-220,wof-NOR_383
way/254428135-420,wof-NOR_382
way/254428135-420,
way/254428135-420,
NO26-400,wof-NOR_318
NO26-400,
NO55-300,
relation/12832053,NOR_21
relation/12832053,wof-NOR_184
relation/12832053,wof-NOR_156
relation/12832053,NOR_12
relation/12832053,wof-NOR_124
relation/12832053,wof-NOR_125
relation/12832053,NOR_12
relation/12832053,wof-NOR_155
relation/12832053,NOR_12
relation/12832053,wof-NOR_154
relation/12832053,NOR_11
relation/12832053,wof-NOR_154
relation/12832053,NOR_23
relation/12832053,wof-NOR_186
relation/12832053,NOR_22
relation/12832053,wof-NOR_185
relation/12832053,NOR_22
relation/12832053,wof-NOR_185
relation/12832053,NOR_22
relation/12832053,wof-NOR_185
relation/12832053,NOR_22
relation/12832053,wof-NOR_185
relation/12832053,NOR_10
relation/12832053,wof-NOR_153
relation/8890887,NOR_21
relation/8890887,wof-NOR_184
relation/8890887,NOR_21
relation/8890887,wof-NOR_184
relation/8890887,NOR_20
relation/8890887,wof-NOR_183
relation/8890887,NOR_20
relation/8890887,wof-NOR_183
relation/8890887,NOR_20
relation/8890887,wof-NOR_183
relation/8890887,NOR_20
relation/8890887,wof-NOR_183
relation/11981383,NOR_19
relation/11981383,wof-NOR_182
relation/11981383,NOR_19
relation/11981383,wof-NOR_182
relation/11981383,NOR_19
relation/11981383,wof-NOR_181
way/60495669-420,NOR_84
NO90-420,NOR_59
way/60495669-420,NOR_83
way/60495669-420,wof-NOR_316
NO90-420,NOR_70
NO90-420,wof-NOR_291
relation/12832053,wof-NOR_125
relation/12832053,wof-NOR_125
way/60495669-420,NOR_84
way/60495669-420,NOR_83
way/60495669-420,wof-NOR_316
way/60495669-420,
way/60495669-420,NOR_83
way/60495669-420,wof-NOR_316
way/60495669-420,NOR_83
way/60495669-420,wof-NOR_316
relation/12832053,wof-NOR_156
way/60495669-420,NOR_83
way/60495669-420,wof-NOR_316
way/60495669-420,NOR_83
way/60495669-420,wof-NOR_316
relation/12832053,NOR_33
relation/12832053,NOR_10
relation/12832053,wof-NOR_122
way/60495669-420,
NO90-420,NOR_72
NO90-420,NOR_72
