bus_id,voltage,dc,symbol,under_construction,tags,x,y,country
CH1-220,220,f,Substation,f,CH1,7.971276216184924,47.54489090809811,CH
CH11-220,220,f,Substation,f,CH11,7.777903153061846,47.304724827935445,CH
CH12-220,220,f,Substation,f,CH12,8.98591839231268,47.19084977328445,CH
CH12-380,380,f,Substation,f,CH12,8.986194358351856,47.191043323872165,CH
CH13-220,220,f,Substation,f,CH13,8.914414354956198,47.178826311182746,CH
CH14-220,220,f,Substation,f,CH14,7.64867862873702,47.09248033101623,CH
CH14-380,380,f,Substation,f,CH14,7.64894912036779,47.09267724503219,CH
CH15-220,220,f,Substation,f,CH15,8.226235799999998,47.07525139209797,CH
CH16-380,380,f,Substation,f,CH16,9.102885400000002,46.99866639204784,CH
CH17-380,380,f,Substation,f,CH17,9.480653222217464,46.94826490077518,CH
CH18-220,220,f,Substation,f,CH18,8.986202173368362,46.8814535745526,CH
CH18-380,380,f,Substation,f,CH18,8.986476531960689,46.8816471536762,CH
CH19-220,220,f,Substation,f,CH19,8.093261700000006,46.81011519192313,CH
CH2-220,220,f,Substation,f,CH2,7.9955896,47.53998689239612,CH
CH20-220,220,f,Substation,f,CH20,8.129042299999997,46.78897599190908,CH
CH21-220,220,f,Substation,f,CH21,9.401878900000003,46.78628529190726,CH
CH22-220,220,f,Substation,f,CH22,9.563242994381405,46.66448012540763,CH
CH22-380,380,f,Substation,f,CH22,9.563518331164898,46.664672258112745,CH
CH23-220,220,f,Substation,f,CH23,8.593162875347948,46.65543434696665,CH
CH24-220,220,f,Substation,f,CH24,8.5784507,46.649952591815854,CH
CH25-220,220,f,Substation,f,CH25,8.300573326013273,46.64490691155125,CH
CH26-220,220,f,Substation,f,CH26,8.553275959953941,46.62345494349903,CH
CH27-220,220,f,Substation,f,CH27,8.307465191938903,46.61827936537701,CH
CH28-220,220,f,Substation,f,CH28,8.561304500000007,46.612461191790615,CH
CH29-220,220,f,Substation,f,CH29,9.61142265835349,46.58193762850617,CH
CH29-380,380,f,Substation,f,CH29,9.61169774316021,46.58212964674907,CH
CH3-220,220,f,Substation,f,CH3,8.720390733664873,47.44685624831833,CH
CH30-380,380,f,Substation,f,CH30,9.917665999999992,46.56862939176091,CH
CH31-220,220,f,Substation,f,CH31,6.560242900000007,46.56229679175663,CH
CH32-220,220,f,Substation,f,CH32,8.94427739999999,46.53467799173789,CH
CH33-380,380,f,Substation,f,CH33,9.885643100000005,46.52612579173206,CH
CH34-220,220,f,Substation,f,CH34,8.315100142930977,46.49789837986062,CH
CH34-380,380,f,Substation,f,CH34,8.31537010459449,46.498093686763454,CH
CH35-220,220,f,Substation,f,CH35,8.473317399999997,46.48875169170661,CH
CH36-220,220,f,Substation,f,CH36,8.345911817931027,46.48402295338908,CH
CH37-380,380,f,Substation,f,CH37,9.91567050000001,46.48232639170228,CH
CH38-220,220,f,Substation,f,CH38,8.412662400000002,46.4773330916989,CH
CH39-220,220,f,Substation,f,CH39,8.377911700000002,46.47354669169631,CH
CH4-220,220,f,Substation,f,CH4,9.4308717,47.434850092329576,CH
CH40-220,220,f,Substation,f,CH40,8.452100799999993,46.46114219168781,CH
CH41-380,380,f,Substation,f,CH41,9.217223699999993,46.42086779166025,CH
CH42-220,220,f,Substation,f,CH42,8.646432700000005,46.41078269165339,CH
CH43-220,220,f,Substation,f,CH43,7.285690599999993,46.379313191631766,CH
CH44-220,220,f,Substation,f,CH44,7.295270499999999,46.352076391613046,CH
CH45-220,220,f,Substation,f,CH45,9.515274700000008,46.335742191601824,CH
CH46-220,220,f,Substation,f,CH46,8.009960118485868,46.33259394514109,CH
CH47-220,220,f,Substation,f,CH47,7.909083200000005,46.300225691577296,CH
CH48-225,225,f,Substation,f,CH48,6.8250681999999925,46.26525589155308,CH
CH49-225,225,f,Substation,f,CH49,6.850324000000004,46.25861799154848,CH
CH5-220,220,f,Substation,f,CH5,8.356080200000006,47.41755149231857,CH
CH50-220,220,f,Substation,f,CH50,9.015880900000004,46.24290219153763,CH
CH51-220,220,f,Substation,f,CH51,6.051492201497887,46.23839046846638,CH
CH51-225,225,f,Substation,f,CH51,6.051506218893564,46.23819971567557,CH
CH51-400,400,f,Substation,f,CH51,6.05176661129018,46.23840060986606,CH
CH52-220,220,f,Substation,f,CH52,6.117405408228587,46.23591415500917,CH
CH53-225,225,f,Substation,f,CH53,6.982624699999996,46.22439339152478,CH
CH56-220,220,f,Substation,f,CH56,8.849396000001034,46.19414814150638,CH
CH57-220,220,f,Substation,f,CH57,5.994340131372339,46.18612426891901,CH
CH57-225,225,f,Substation,f,CH57,5.994600069102197,46.18632530541466,CH
CH58-220,220,f,Substation,f,CH58,8.897810300091468,46.17382314164367,CH
CH59-220,220,f,Substation,f,CH59,8.718542699932085,46.13298699147927,CH
CH6-220,220,f,Substation,f,CH6,8.732075361560304,47.38846191806344,CH
CH60-225,225,f,Substation,f,CH60,7.069441251777646,46.11936758052711,CH
CH7-220,220,f,Substation,f,CH7,8.043623863510673,47.34610614624948,CH
CH9-220,220,f,Substation,f,CH9,9.542618400000004,47.32860239226177,CH
relation/5378910-220,220,f,Substation,f,relation/5378910,7.190494851545711,46.97438844463531,CH
relation/7933294-380,380,f,Substation,f,relation/7933294,10.332156238823757,46.80495634467607,CH
relation/9310861-220,220,f,Substation,f,relation/9310861,8.571556471998445,47.41231864127566,CH
way/100662075-220,220,f,Substation,f,way/100662075,8.76745186600958,46.67529483003962,CH
way/108257952-220,220,f,Substation,f,way/108257952,8.433283805984765,47.27115828091728,CH
way/1086214433-220,220,f,Substation,f,way/1086214433,8.323133725839755,46.592025463687065,CH
way/109037817-220,220,f,Substation,f,way/109037817,7.672530168572934,47.52002717777994,CH
way/109037817-380,380,f,Substation,f,way/109037817,7.67280293873022,47.52022399786919,CH
way/1092884227-220,220,f,Substation,f,way/1092884227,8.52874720137093,46.41051401242827,CH
way/1105061707-220,220,f,Substation,f,way/1105061707,7.282299486401616,46.97208656777328,CH
way/1105061707-380,380,f,Substation,f,way/1105061707,7.282568003868039,46.97228439816908,CH
way/111162936-220,220,f,Substation,f,way/111162936,6.613906163011193,46.55735731270573,CH
way/111162936-380,380,f,Substation,f,way/111162936,6.61415579941978,46.557199620285736,CH
way/111162936-400,400,f,Substation,f,way/111162936,6.614228976183675,46.55742809413242,CH
way/11282314-220,220,f,Substation,f,way/11282314,8.624781478857786,47.37875807306816,CH
